"YEAR","BALLOT","USETECH","HAPPY","PARTYID","RINCOME","RACE","SEX","DEGREE","EDUC","AGE","MARITAL","HRS2","HRS1","WRKSTAT","ID_","UNHAPPY"
2018,3,10,2,5,11,1,1,1,12,70,4,-1,20,2,85,1
2018,2,85,2,1,12,2,1,3,17,28,5,-1,42,1,86,0
2018,2,1,2,0,1,3,2,1,13,53,5,-1,40,1,87,2
2018,3,100,2,0,13,1,1,1,16,46,1,40,-1,3,88,1
2018,2,50,2,0,12,1,1,4,18,55,1,-1,35,1,89,3
2018,2,100,2,1,8,3,1,4,18,28,5,-1,35,1,90,0
2018,2,100,2,2,12,1,1,4,16,42,5,45,-1,3,91,4
2018,1,100,3,0,10,1,2,4,19,77,1,-1,3,2,92,0
2018,2,20,1,3,13,3,1,4,16,29,5,-1,30,2,93,1
2018,2,-1,3,2,0,2,2,0,12,62,2,-1,-1,7,94,0
2018,1,4.5,2,2,12,2,2,3,16,30,5,-1,40,1,95,0
2018,3,12.5,2,1,13,2,1,1,14,22,5,-1,30,2,96,3
2018,3,-1,2,0,0,2,2,1,13,69,1,-1,-1,5,97,1
2018,1,100,1,0,12,2,1,3,16,45,4,50,-1,3,98,0
2018,3,-1,2,1,0,3,2,1,12,32,1,-1,-1,7,99,1
2018,3,-1,1,4,98,1,2,0,4,60,2,-1,-1,7,100,2
2018,1,0,3,4,12,3,1,0,12,48,3,-1,40,1,101,0
2018,1,-1,3,1,0,3,2,1,12,81,3,-1,-1,5,102,0
2018,3,100,2,2,12,3,1,4,18,50,1,-1,40,1,103,1
2018,3,-1,1,4,0,1,2,1,14,78,1,-1,-1,5,104,2
2018,2,100,2,0,12,1,1,4,18,56,5,24,-1,3,105,2
2018,1,50,2,4,12,1,1,1,14,60,5,-1,40,1,106,0
2018,2,0,2,5,12,1,1,1,12,23,5,-1,64,1,107,1
2018,2,40,2,3,13,1,2,1,12,67,5,40,-1,3,108,1
2018,3,22.5,1,3,0,1,2,3,16,54,1,-1,30,2,109,1
2018,2,-1,3,3,0,1,2,2,14,62,1,-1,-1,7,110,2
2018,3,55,1,0,12,1,2,2,14,55,3,-1,36,1,111,1
2018,2,100,1,1,9,1,2,1,12,56,1,-1,28,2,112,0
2018,2,-1,2,0,0,1,1,2,14,58,5,-1,-1,7,113,1
2018,2,-1,3,1,0,1,2,1,12,74,3,-1,-1,5,114,0
2018,2,90,2,1,12,1,1,3,16,70,1,-1,40,1,115,1
2018,1,50,1,7,0,1,1,3,17,35,1,-1,40,1,116,0
2018,2,-1,2,1,0,2,1,0,8,65,1,-1,-1,5,117,1
2018,3,-1,2,3,0,1,2,2,14,42,1,-1,-1,8,118,2
2018,3,37.5,1,5,9,1,2,1,13,48,1,-1,16,2,119,2
2018,1,0,2,4,12,1,1,1,13,32,5,-1,40,1,120,0
2018,3,-1,2,4,0,1,2,1,12,56,1,-1,-1,7,121,1
2018,1,90,2,3,12,1,2,1,12,61,1,-1,40,1,122,0
2018,3,100,2,0,9,1,2,3,16,76,2,-1,12,2,123,2
2018,3,10,2,2,12,1,2,3,16,59,1,-1,30,2,124,2
2018,1,60,2,0,12,1,1,3,16,69,5,-1,30,2,125,0
2018,2,10,2,1,12,3,1,4,18,48,5,-1,40,1,126,0
2018,1,5,2,6,12,1,2,4,20,68,1,-1,40,1,127,0
2018,3,0,1,1,98,1,2,3,16,39,5,-1,15,2,128,1
2018,1,25,2,1,12,1,1,4,18,38,1,-1,50,1,129,0
2018,3,95,1,0,12,1,2,4,18,39,5,-1,40,1,130,2
2018,2,-1,1,3,0,1,2,1,12,52,1,-1,-1,7,131,1
2018,1,-1,1,1,0,1,2,4,20,41,1,-1,-1,7,132,0
2018,2,80,2,0,12,1,1,3,17,60,1,-1,40,1,133,0
